,label,text
0,0,ממש כואב ..... אני בוכה עם המשפחה שלא תדעו עוד צער
1,0,איש יקר שלנו
2,0,כל הכבוד והמון בהצלחה
3,0, תל חי  רובי . בכל העצב הזה היית קרן אור של תקוה . אכן יש נשיא בישראל 
4,0,נקי כפיים ובר לבב בהצלחה לך ולנו .
5,0,רובי חג שמח והצלחה בבחירות לנשיאות .
6,0,הנשיא לא נותן יד . דיי להתלהמות אפשר להביע דיעה ולהתנגד אך לא פיזית . זו הבחירה שלה להנשא למוסלמי . נאחל לה הצלחה !
7,0, כל הכבוד לך אדוני הנשיא כאיש ימין דווקא  אני חושב שאהבה תנצח . 
8,0,בהצלחה אדוני הנשיא
9,1,ואני עוד חשבתי שהגיע נשיא נורמלי
10,0,מגיע לך !!!!
11,0,אמן
12,0, ווא מרגש ! בעזרת ה ׳   נשיא מדינת ישראל !! 
13,1,עוד לא שבוע בתפקיד וכבר שכחת מאיפה באת ?
14,0,בהצלחה
15,0,אדוני הנשיא . אם הדמוקרטיה ועתיד הדו קיום חשובים לך עשה מעשה ולך להיות אורח של כבוד בחתונה הזאת .
16,1," ריבלין הרגע מחקתי אותך  כמה אהבתי אותך על זה נאמר  "" סייג לחוכמה שתיקה "" "" """
17,0,אם יש מישהו שמגיעה לו זה אתה..בהצלחה
18,1,תתחיל במעשים !! עוד אחד פחדן ! כהנא צדק
19,1, כבוד נשיאנו  אין שמח היה ממני ביום בחירתך  לא חשבתי שכל כך מהר אשמע את שמעון פרס מגרונך  
20,0, עם התגובות שנכתבות פה  יש לך הרבה עבודה לעשות בתור נשיא  בהצלחה ! 
21,0,רובי ... בדיחה אחת בשבוע ... עם ישראל זקוק לחיוך מידי פעם .
22,0, כבוד הנשיא  כל הכבוד  אני תומך בכל מילה שלך . 
23,0,ישר כוח כבוד הנשיא .
24,0, יהי זכרו ברוך  כמה עצוב 
25,1,דייי לשתיקה דייייי !!!
26,0,בהצלחה !!!
27,0,נשיא ללא נסיעות
28,0, תודה כבודו  זהו חלום של כולנו . תודה לך שהבעת אותו בשמנו ותודה לבתי המקסימה שהביאה כאן את דבריך . 
29,0,מאחורי כל גבר מצליח יש אישה אוהבת ותומכת !
30,1, אתה כבר לא הנשיא שלי  אתה מעודד התבוללות אז אין בך יחודיות כנשיא העם היהודי  שבת שלום 
31,1,כבר יש לו דרכון של מדינה זרה כל שהיא ???
32,1,עוד לא שבוע בתפקיד וכבר שכחת מאיפה באת ?
33,0,האיש הנכון במק לעם ישראל טוב לירושלים סוף סוף ום הנכון טוב
34,0, יש לך חיוך שכובש את כל מדינת ישראל  כבוד הנשיא . 
35,0,נשיא מדינת ישראל כלבבי . יישר כוח !!
36,0, מילים כדורבנות ! גאים בך  רובי ! נשיא מדינת ישראל ! 
37,1,נשיר אלק ?? קודם תפשפש במעשייך !!!! נראה עד מתי תישאר נשיא .
38,1,אדוני הנשיא גם אני מאחל לך שנה טובה והכי שקטה שיש . שנה שלא תצייץ בה כל שטות .
39,1,רובי הייתי רוצה לראות ערביה נישאת ליהודי
40,0,תמונה יפיפיה-שפו
41,0,אופיר בדיוק על שכמותך הנשיא כתב את מילותיו
42,0,שבת שלום אדוני השיא : )
43,0,צודק 100 אחוז כל אחד והבחירה שלו
44,0, בהצלחה  ישר כח 
45,0,שבת שלום !
46,0,ירושלמי . ״ אסלי ״ . אתה נשיא שלנו ואין מצב שלא תיבחר . אנחנו מאמינים בני מאמינים בהצלחה איש יקר .
47,0,G. bless you Mr. Reuven Rubi Rivlin - ראובן רובי ריבלין : )
48,1,מה קרה אדון הנשיא הפכת את העור שלך
49,0,בהצלחה לעם ישראל ... ולך
50,0,Bengi Rivlin משפחה 
51,0,מקסים
52,0,יחי נשיאנו החדש לכבוד ותפארת מדינת ישראל
53,1,למה זה בלבול שכל ?
54,0,איש ממשפחה שבנתה שכונות מיחוץ לחומה
55,0,בריאות כבוד הנשיא . לך לנכד למשפחתך ולכל עם ישראל
56,0,בהצלחה !!
57,0,רק לפי הפוסט הזה רואים כמה אתה ראוי לתואר כבוד נשיא המדינה ראובן ( רובי ) ריבלין ..
58,1,שמור על פיך המלוכלך !!!! וכבד את הנשיא ואם לא את הנשיא כבד אדם מבוגר מגילך . אני בטוחה שלא ככה חונכת מהבית .
59,1, מה אתה אומר ? באמת ? אני חתמתי על כרטיס אדי כבר לפני 20 שנה  אז טוב שנזכרת רק עכשיו ! 
60,0,יהי זכרו ברוך
61,0,כבוד הנשיא מזל טוב עד 120 גאה ומעריצה שלך הרבה שנים תבורך שיהיה לך בהצלחה בתפקידך !!!
62,0,לא רק הנכד אוהב אותך גם עם ירשאל.מאחלים הצלחה בתפקיד לאריכות ימים בבריאות טובה .
63,1, נשיא מטומטם וצבוע  הלוואי על הנכדות שלך חתן ערבי יא נעל 
64,0,אוהבים אותך הנשיא ריבלין
65,0,כל הכבוד לנשיא היקר הזה . זמן כה קצר בכהונה וכל התבטאויותיו עד היום עושות כבוד לתפקיד .
66,0,אמן
67,0,הנשיא האידיאלי לישראל יהודית דמוקריטית .
68,0,כואב ומדכא ליבי עם גילה
69,0, שבת שלום לך  רק אתה ראוי ותהיה נשיאנו 
70,0,ברכות והמון הצלחה בבית הנשיא . אוהבים אותך רובי
71,0,כואבים ומתאבלים עם המשפחות על רצח הבנים שנלקחו בדמי ימיהם .
72,0, הלב נשבר  איזה מתוק ומקסים !! ת.נ.צ.ב.ה 
73,0,כל הכבוד ! אבל למה עד עכשיו לא היה לך ??
74,0,בהצלחה חבר יקר תודה על נאמנותך למדינה ואהבת הארץ
75,0," הנשיא הבית""רי הראשון תל חי "
76,0,כבוד הנשיא ראובן ריבלין תודה לאל שיש לנו נשיא כמוך .
77,1,רגע .. אם היינו מתבוללים כבר לפני 2000 שנה כשהרומאים הגלו את חלקינו ... זה לא היה מונע את כל הבלאגן הזה ?
78,0,יחי נשיא מדינת ישראל .
79,0,צודק 100 אחוז כל אחד והבחירה שלו
80,1,יום עצוב למוסד הנשיאות ולמדינה .
81,0," אז המערכון ב""פרלמנט  "" שהשתתפת בו עם אסי כהן אשכרה נכון : ) אתה כל הזמן מוציא תמונות של הנכדים כבוד הנשיא : ) """
82,0, אם לי הייתה זכות בחירה  ללא ספק הייתי מצביע עבורך !! בהצלחה ! 
83,0,הלב נשבר למראה הילד המתוק יהיי זכרו ברוך אמן
84,0,בשעה טובה מגיע לך מאחל לך הצלחה כבוד הנשיא הנבחר
85,0,תתפטר כבר ליצן
86,1, האישה התאסלמה  אז היא ערבייה . למה זה צריך להפריע למישהו !!!!!???? 
87,0,שבת שלום לנשיא ה-10 ! מדינת ישראל זכתה !!
88,0,איש יקר רק נכנסת לתפקידך ויום למחרת בבוקר היית בנחום אבלי במשפחה האבלה של חייל שנהרג
89,0,כבוד הנשיא אתה צודק בהחלט נכון מאוד !!!!
90,0,הלוואי ואתה הנשיא מר ריבלין היקר
91,0,שבוע טוב לנשיא מדינת ישראל הנכנס והמכיר את עמו וארצו ורגשות העם מעל לכל ספק
92,0,אכן מרגש . הלוואי על כל הזוגות
93,0,זוג מדהים !!!
94,1, כבוד הנשיא גם לי יש המון חלומות  עד שהשעון המעורר הורס לי אותם 
95,1,כבוד הנשיא לא הייתה צריך להגיד כלום בקשר לאיתבוללות ולברך . כי אתה משאיר דרך פריצה לאיתבוללות . שאלוהים היא שמור
96,0,שבת שלום אדוני הנשיא מי יתן והנערים יחזרו בשלום
97,0,תפילות
98,0,כמה עצוב ... מלאך קטן . ליבי עם המשפחה
99,0,רובי ריבלין אתה תיבחר מחר
100,0, תמשיך להיות סבא מגניב  את זה לא ישכחו לך לעולם ! 
101,0,אמן ..
102,0,ילד חמוד יפה לא מגיע לו ככה כל הכבוד ראובן שבאתה לקרבו וליוות אותו בדרכו האחרונה יפה מצדך ( y )
103,0,בהצלחה רובי ריבלין אתה בין המועמדים הנבחרים .
104,0,יקירנו מכובדנו אתה מוסיף תקווה לעם אתה גאוותנו
105,1," זה בטח לא יהיה  "" כדת משה וישראל "" "" """
106,0,כבוד הנשיא מתקרבת שנת תשעה אולי נכריז עליה כ תהה שנת ערבות הדדית
107,1,אל תתעסק בנושא שאיננו מעניינך . אל תסתבך ראובן כך הסתבך הנשיא הנוכחי .
108,0," אחלה נשיא אחלה בית""רי שתהיה לכל הקבוצות בהצלחה ובמיוחד לבית""ר ירושלים "
109,0,שבת מבורכת אדוני הנשיא ואמן שישובו הבנים במהרה
110,1,רק הקדוש ברוך הוא יכול לעזור ולא שום נשיא או ראש ממשלה שלא מכניס את השם בחיו
111,0, שיהיה להם מזל טוב  ואמן שכל מסית וגזעני יבין שמה שעושה לאחרים היום ייעשה בו מחר !! כי די נמאס כבר !! 
112,0,בהצלחה !!!!
113,0,אשת חייל מי ימצא משפחה כזאת ראויה לנשיאות
114,0,לנשיא החדש בהצלחה אל תפקיד כנשיא המדינה
115,0,חג שמח לנשיא הבא של מדינת ישראל : - ) : - ) : - )
116,0, מכתבך מרגש ביותר  אני מאחלת לכם הצלחה רבה ! גברת ראשונה של ישראל וכבוד הנשיא מדינת ישראל החדש 
117,0,יהי זיכרו ברוך : - (
118,0,שבת שלום לך אדוני הנשיא
119,0, מזל טוב ובהצלחה אדוני הנשיא - סוף סוף  עשה חיל . אוהבים 
120,1, אדוני הנשיא  טול קורה מבין עיניך תטיף נגד גזענות קודם כל אצלך בבית  בבית ״ ר 
121,0,בהצלחה לכם הרי לבית הנשיא תניחו השניים ! 
122,0, רובי  אתה יחיד ומיוחד . 
123,0,מאחל לך המון המון הצלחה ובערת השם אתה הנשיא הבא של ישראל
124,0, מלח הארץ ! ברכות לבחירתך  איש יקר ! 
125,0,שפו . אתה הנשיא
126,0,יהי זיכרו ברוך
127,1,אדוני הנשיא . ומה עם משפט או שנים נגד נישואי תערובת ?
128,0, במידה ויתגלה הדבר כשהנשיא כבר מכהן  יהיו לכך השלכות מרחיקות לכת על פרצופה של המדינה בכלל ובית הנשיא בפרט . 
129,1,איזה חוויה ואיזה ישראלי ???... בהזדמנות הראשונה הם שולחים אותנו לתאי גזים וחופרים לנו קבר אחים בדיוק כמו בשואה הכואבת .
130,0, שהקב ״ ה ישמור עלייך קרוב קרוב לידו  מלאך שלנו 
131,1,לעזאזל !!!! שיעשו כבר משהו בממשלה שלנו
132,0,יישר כוח כולנו אחרייך
133,1,לא ברור מה נסגר במדינה הזאת
134,1,נשיא מדינת ישראל תתבייש
135,1,עונש מוות החוק הבא
136,1,בני שטן ... יהי זכרו ברוך .
137,0,ב ה צ ל ח ה לנו ולך כבוד הנשיא רובי ריבלין
138,0, יהי זכרו ברוך  הילד נראה מלאך נשמה טהורה  ה ׳ ינקום דמו 
139,0,עצוב
140,0,איש טוב וצנוע מקווה שיצליח
141,0, כבוד נשיא ה-10 של מדינת ישראל  עם ישראל אוהב אותך  אין כל ספק שתצליח מחר  אין ראוי ממך לתפקיד זה . 
142,0,ברכות חמות לנשיא המדינה החדש .
143,0,אני גאה בך שמח שנבחרתה לנשיא של העם אתה אנשיא של כולם
144,0,כל כך רציתי שתזכה לכהן כנשיא מאד מגיע לך מכל הלב . אתה מדהים
145,1,שמע אתה צבוע מעניין אם היית מדבר כך אם הנכדה שלך הייתה מתחתנת עם מחמוד
146,0,בהצלחהה ( - :
147,0,שמח בשבילך ... איש נכון במקום הנכון . תפקיד שתפור כמו חליפה עליך . מי יתן וירבו אנשים כמוך . יחי יחי יחי
148,1,מי נשיא ימני של ביתר ירושלים אכפת לנשיא שמאלני של מדינת ישראל
149,1,הכי קל ללכת לקיצון לעזאזל יותר קשה להישאר שפוי .
150,0,נורא !!
151,0,אדם נשמה מעל הכל ישר כח והרבה בריאות ונחת
152,0,כל כך כואב כלכך עצוב יש נשיא בישראל !!!
153,0,בהצלחההההההההההההההה
154,0,כבוד הנשיא הנבחר עם ישראל זכה בנשיא מושלם שמסמל ארץ ישראל ... עם ישראל..תורת ישראל ... שבת שלום
155,0,שבת שלום איש צנוע יקר ... שמחה בבחירתך להיות לנו לנשיא המדינה ללא ספק לא היה ולא יהיה מעומד טוב ממך ...
156,0, כל הכבוד  כבוד הנשיא !!!! 
157,0,מזל טוב להיבחרותך לנשיא מדינת ישראל !!!
158,0,איזו אצילות !!!!!
159,0,כן יהי רצון
160,0,רובי היקר מלכה וגזר פרברג מברכים אותך מכל הלב והשמחה על הבחרך לנשיר המדינה ה-10 . אנחנו גאים בך
161,0,בהצלחה ובבריאות ... אמן
162,0,הלב נקרע ממאן להאמין כיצד מעכלים ידיעה שכזו דניאל .. הילד המדהים הזה כעת הוא מלאך בשמים יהי זיכרו ברוך !!!! : ( (
163,0,בהצלחה סוף סוף יהיה נשיא אחד ישר ולא מושחת .....
164,0,תודה רבה אדוני הנשיא על דבריך
165,0,הלואי ותביא איתך הרבה טוב לעם ישראל ותעשה דברים שיעלו חיוך ומלא שמחת חיים לעם ישראל .
166,0,כל הכבוד לנשיא ! בושה לכל המקללים והמנאצים .
167,1,תתבייש לך ... עלק נשיא יהודי ...
168,0,לכבוד הוא לנו שאתה נשיאנו .! הצלח בשם מדינתנו
169,0,הצלחה גדולה אוהבים אותך
170,0,מזל טוב אדוני הנשיא בהצלחה
171,0,היית צריך לחתום על עצומה נגד זועבי המנוולת
172,1,אוי ואבוי לנו על נשיא כזה .
173,1," אדוני הנשיא  לא ליפול למלכודת  "" הסוס שלוש "" "" לרצות של אנשים אשר תהיה קרובה למכירה בישראל ! """
174,0,ככה היה צריך לעשות בביתר ששם התופעה הזאת גדולה הרבה יותר
175,0,אוהבים אותך
176,0,איפה האפיפיור שהיה כאן לאחרונה נישק ידי ניצולי שואה ? מדוע קולו לא נשמע ?
177,0,אשרכם ... לארוז מזודות וקדימה לנשיאות.ואלוהים.עמכם .
178,0,המעורבות הכנה והחברית שגילה הנשיא בהספדו לדניאל נגעה ללבי
179,1," רובי  אולי תהיה יו""ר ההתאחדות לכדורגל אחרי שתסיים את הקדנציה בתור נשיא ? "
180,0, איזה יופי ! מזל טוב  ובהצלחה בייצוג המדינה 
181,0,בריאות כבוד הנשיא . לך לנכד למשפחתך ולכל עם ישראל
182,0,בהצלחה לאיש המיוחד היותר במדינת ישראל
183,0,אמן
184,0,אנשים רק רוצים דבר אחד כסף . התפקיד הזה מיותר למדינת ישראל . כולם גם ככה מושחתים !!!
185,0,עלה והצלח מגיע לך להיות נשיא מדינת ישראל
186,0,נתפלל כולנו לשלומם שיחזרו בריאים ושלמים לבתיהם במהרה
187,0,אמן .
188,0,אדוני הנשיא תודה על דבריך אך אנא ממך אל תסתפק בכתיבה בפייסבוק .
189,1,עוד נשיא כזה ואבדנו !
190,0,גאה בך ! נשיא מדינת ישראל העשירי !
191,0,. וכל מילה נוספת מיותרת . שבת שלום לך אדוני הנשיא !
192,0,החיסרון היחיד של הבחירה שלך לנשיאות היא שאתה לא תעמוד בראשות הממשלה ( לפחות לא עד סוף הקדנציה ; ) )
193,0,בהצלחה בתפקידך ושתמיד תחייך ישר כוח וכל הטוב שבעולם
194,0, בריאות והגשמת המשאלות  נשיא מדינתנו 
